1548577298.000000 ccnd[27068]:  ____________________ Sun Jan 27 17:21:38 2019
1548577298.089678 00000000.ccnd[27068]: =======================ex index n: 0
1548577298.089732 00000000.ccnd[27068]: =======================ex index l: 12
1548577298.089737 ccnd[27068]: CCND_DEBUG=1 CCND_CAP=50
1548577298.089739 ccnd[27068]: CCND_DEBUG=1 CCND_CAP_G=50
1548577298.089784 ccnd[27068]: listening on /tmp/.ccnd.sock
1548577298.089800 ccnd[27068]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1548577298.089809 ccnd[27068]: accepting ipv4 connections on fd 5
1548577298.089819 ccnd[27068]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1548577298.089827 ccnd[27068]: accepting ipv6 connections on fd 7
1548577298.140433 ccnd[27068]: accepted client fd=8 id=6
1548577298.140496 ccnd[27068]: shutdown client fd=8 id=6
1548577298.140502 ccnd[27068]: recycling face id 6 (slot 6)
1548577299.089299 ccnd[27068]: accepted client fd=8 id=6
1548577299.089877 ccnr[27073]: CCNR_DEBUG=7 CCNR_DIRECTORY=. CCNR_STATUS_PORT=
1548577299.089992 ccnr[27073]: Repository file is indexed
1548577299.091716 ccnd[27068]: accepted client fd=9 id=7
1548577299.100607 ccnd[27068]: accepted datagram client id=8 (flags=0x40012) 192.168.122.102 port 9695
1548577299.106680 ccnd[27068]: shutdown client fd=8 id=6
1548577299.106689 ccnd[27068]: releasing face id 6 (slot 6)
1548577444.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:56953917
1548577445.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:58202901
1548577446.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:59451885
1548577447.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:60095666
1548577452.000006 ccnd[27068]: #CANUSE#:9999999 #FACE#:8 #SENDAMOUNT#:60394122
1548577453.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:60810362
1548577454.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:62087627
1548577455.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:63256184
1548577456.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:64505168
1548577457.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:65754152
1548577458.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:67003136
1548577459.000010 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:68252120
1548577460.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:69486911
1548577461.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:69695075
1548577462.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:70944059
1548577463.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:72193043
1548577469.000007 ccnd[27068]: #CANUSE#:8717313 #FACE#:8 #SENDAMOUNT#:72217527
1548577470.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:72577007
1548577471.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:73385837
1548577472.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:74123866
1548577473.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:74748358
