1548891850.000000 ccnd[4469]:  ____________________ Thu Jan 31 08:44:10 2019
1548891850.887690 00000000.ccnd[4469]: =======================ex index n: 0
1548891850.887733 00000000.ccnd[4469]: =======================ex index l: 12
1548891850.887738 ccnd[4469]: CCND_DEBUG=1 CCND_CAP=5000
1548891850.887741 ccnd[4469]: CCND_DEBUG=1 CCND_CAP_G=5000
1548891850.887816 ccnd[4469]: listening on /tmp/.ccnd.sock
1548891850.887833 ccnd[4469]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1548891850.887841 ccnd[4469]: accepting ipv4 connections on fd 5
1548891850.887851 ccnd[4469]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1548891850.887859 ccnd[4469]: accepting ipv6 connections on fd 7
1548891850.938348 ccnd[4469]: accepted client fd=8 id=6
1548891850.938411 ccnd[4469]: shutdown client fd=8 id=6
1548891850.938417 ccnd[4469]: recycling face id 6 (slot 6)
1548891851.886250 ccnd[4469]: accepted client fd=8 id=6
1548891851.886867 ccnr[4474]: CCNR_DEBUG=7 CCNR_DIRECTORY=. CCNR_STATUS_PORT=
1548891851.886998 ccnr[4474]: Repository file is indexed
1548891851.888782 ccnd[4469]: accepted client fd=9 id=7
1548892771.000004 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
1548892775.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892783.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892791.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892799.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892807.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892815.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892823.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892831.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892839.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892847.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892855.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892864.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892871.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892874.000003 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892879.000001 ccnd[4469]: #send_g#:0 #send_d#:8528 #face#:8 #band#:0 #band_f#:20000000
1548892887.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892895.000004 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892903.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892911.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892919.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892927.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892935.000001 ccnd[4469]: #send_g#:0 #send_d#:3888 #face#:0 #band#:0 #band_f#:20000000
1548892935.000019 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892943.000003 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892951.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892959.000002 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892967.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892975.000001 ccnd[4469]: #send_g#:0 #send_d#:4648 #face#:8 #band#:0 #band_f#:20000000
1548892980.000004 ccnd[4469]: #send_g#:0 #send_d#:3880 #face#:8 #band#:0 #band_f#:20000000
